"Banco de México"

"Tipos de cambio y resultados históricos de las subastas"
"Cotización de las divisas que conforman la canasta del DEG y del DEG respecto al Peso mexicano"

"Fecha de consulta: 27/05/2020 04:43:18"

""

"Título","Cotización de las divisas que conforman la canasta del DEG, Respecto al peso mexicano, Dólar EUA","Cotización de las divisas que conforman la canasta del DEG, Respecto al peso mexicano, Euro","Cotización de las divisas que conforman la canasta del DEG, Respecto al peso mexicano, Yen japonés","Cotización de las divisas que conforman la canasta del DEG, Respecto al peso mexicano, Libra esterlina","Cotización de las divisas que conforman la canasta del DEG 1/ y del DEG respecto al Peso mexicano 2/, Yuan chino","Derecho Especial de Giro (DEG)"
"Periodo disponible","16/10/1996 - 27/05/2020","04/01/1999 - 27/05/2020","16/10/1996 - 27/05/2020","16/10/1996 - 27/05/2020","28/02/2011 - 27/05/2020","16/10/1996 - 27/05/2020"
"Periodicidad","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria"
"Cifra","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio","Tipo de Cambio"
"Unidad","Pesos","Pesos","Pesos","Pesos","Pesos","Pesos"
"Base","","","","","",""
"Aviso","","","","","",""
"Tipo de información","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles"
"Fecha","SF46405","SF46410","SF46406","SF46407","SF290383","SF46411"
02/01/2018,19.4899,23.5058,0.1737,26.4108,3.0021,27.8340
03/01/2018,19.3717,23.2722,0.1726,26.2709,2.9823,27.6300
04/01/2018,19.2427,23.2115,0.1709,26.0825,2.9626,27.4746
05/01/2018,19.2737,23.2296,0.1702,26.1110,2.9741,27.5058
08/01/2018,19.2323,23.0499,0.1701,26.0425,2.9607,27.3909
09/01/2018,19.3065,23.0298,0.1714,26.1410,2.9564,27.4461
10/01/2018,19.2405,23.1050,0.1727,26.0776,2.9533,27.4441
11/01/2018,19.3433,23.1046,0.1733,26.0400,2.9697,27.5244
12/01/2018,19.0446,23.0906,0.1713,25.9749,2.9440,27.2900
15/01/2018,18.8113,22.8078,0.1693,25.6567,2.9080,26.9557
16/01/2018,18.8362,23.0112,0.1702,25.8941,2.9255,27.0987
17/01/2018,18.6550,22.7722,0.1684,25.7215,2.8978,26.8364
18/01/2018,18.6361,22.8097,0.1675,25.8781,2.9029,26.8469
19/01/2018,18.5800,22.7967,0.1678,25.7993,2.9033,26.8069
22/01/2018,18.7118,22.9294,0.1690,26.0103,2.9201,26.9843
23/01/2018,18.7980,23.0059,0.1701,26.1941,2.9314,27.1050
24/01/2018,18.5178,22.8500,0.1691,26.1768,2.9055,26.8409
25/01/2018,18.4780,22.9192,0.1695,26.3459,2.9212,26.8801
26/01/2018,18.4672,22.9695,0.1689,26.3102,2.9187,26.8811
29/01/2018,18.6196,23.0799,0.1713,26.1847,2.9371,27.0487
30/01/2018,18.6982,23.2540,0.1722,26.4093,2.9544,27.2088
31/01/2018,18.6069,23.1740,0.1711,26.3492,2.9603,27.1125
01/02/2018,18.4004,22.8818,0.1678,26.1635,2.9186,26.7816
02/02/2018,18.5248,23.1384,0.1686,26.3478,2.9432,27.0041
06/02/2018,18.7009,23.1368,0.1716,26.0532,2.9745,27.1481
07/02/2018,18.6492,23.0308,0.1708,25.9009,2.9694,27.0495
08/02/2018,18.8815,23.1081,0.1722,26.3784,2.9719,27.2746
09/02/2018,18.8623,23.0827,0.1730,26.0800,2.9835,27.2491
12/02/2018,18.6703,22.9010,0.1718,25.8612,2.9475,26.9983
13/02/2018,18.6269,22.9856,0.1730,25.8951,2.9362,27.0114
14/02/2018,18.6025,22.9620,0.1732,25.7663,2.9371,26.9803
15/02/2018,18.5159,23.0903,0.1735,26.0084,2.9412,27.0071
16/02/2018,18.4797,23.0673,0.1740,25.9880,2.9354,26.9762
19/02/2018,18.5360,23.0282,0.1741,26.0004,2.9410,27.0009
20/02/2018,18.6594,23.0434,0.1743,26.0980,2.9447,27.0937
21/02/2018,18.6518,22.9706,0.1735,25.9689,2.9446,27.0403
22/02/2018,18.6574,22.9281,0.1740,25.8955,2.9404,27.0220
23/02/2018,18.5659,22.8463,0.1738,25.9523,2.9318,26.9317
26/02/2018,18.6456,23.0003,0.1746,26.1915,2.9561,27.0923
27/02/2018,18.7902,23.1430,0.1757,26.2067,2.9810,27.2707
28/02/2018,18.8331,23.0093,0.1758,26.0688,2.9772,27.2305
01/03/2018,18.8610,22.9850,0.1768,25.9244,2.9688,27.2277
02/03/2018,18.8909,23.2462,0.1792,26.0515,2.9750,27.3922
05/03/2018,18.8838,23.2280,0.1787,26.0842,2.9790,27.3821
06/03/2018,18.7246,23.2157,0.1760,26.0244,2.9593,27.2276
07/03/2018,18.7922,23.3174,0.1778,26.0375,2.9738,27.3425
08/03/2018,18.7148,23.1661,0.1764,25.9406,2.9521,27.1920
09/03/2018,18.5812,22.8539,0.1740,25.6894,2.9324,26.9233
